Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
141182,,CGMU5108238,0,GPPTP,,ESALG/PTLEI,,,,Checked,-35,-41,,"-36,3"
340312,,CGMU9281196,0,MXVER,,MTMLA/MTMLA,,,,Checked,"13,5","13,42",,"14,42"
340210,,CGMU9332483,0,MXVER,,MTMLA/MTMLA,,,,Checked,"13,5","13,46",,"14,09"
340408,,APRU5735519,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
340406,,TTNU8629256,0,MXVER,,MTMLA/MTMLA,,,,Checked,"13,5","135,625",,"14,75"
340206,,APRU6134636,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
340106,,CGMU9328816,0,MXVER,,MTMLA/MTMLA,,,,Checked,"13,5","13,46",,"13,97"
340308,,SEGU9133322,0,MXVER,,MTMLA/MTMLA,,,,Checked,"13,5","13,51",,"13,99"
340212,,TTNU8622230,0,MXVER,,MTMLA/MTMLA,,,,Checked,"13,5","133,125",,"146,875"
340110,,SEGU9650475,0,MXVER,,MTMLA/MTMLA,,,,Checked,"13,5","13,5",,15
340112,,APRU5854550,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
340082,,TLLU1070945,0,MXVER,,MTMLA/MTMLA,,,,Checked,"13,5","13,375",,"14,125"
300308,,TTNU8628270,0,MXVER,,ESALG/ESALG,,,,Checked,"4,375","40,625",,"58,125"
300108,,CAIU5654140,0,MXVER,,ESALG/ESALG,,,,Indeterminate,,,,
300210,,TLLU1059709,0,MXVER,,ESALG/ESALG,,,,Unchecked,"33,125","3,25",,"44,375"
340410,,APRU6119821,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
300306,,BMOU9645023,0,MXVER,,ESALG/ESALG,,,,Checked,5,"5,125",,"53,125"
300106,,CAIU5535305,0,MXVER,,ESALG/ESALG,,,,Indeterminate,,,,
300208,,CAIU5535579,0,MXVER,,ESALG/ESALG,,,,Indeterminate,,,,
340412,,TRIU8503257,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
340208,,TCLU1281620,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
340306,,SZLU9027978,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
340310,,TRIU8680864,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
340108,,TEMU9045064,0,MXVER,,MTMLA/MTMLA,,,,Indeterminate,,,,
300206,,TLLU1057476,0,MXVER,,ESALG/ESALG,,,,Checked,"33,125","3,25",,4
,,SPAR0092208,1,,,,,,,Checked,"13,5","13,875",,"14,375"
