Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,,Supply,Return
260212,,APRU6120186,0,MTMLA,USHOU/MTMLA/USHOU,,,,,Unchecked,-18,,-20.5,-18
260412,,TTNU8664030,0,MTMLA,USHOU/MTMLA/USHOU,,,,,Unchecked,-18,,-23.1,-18.32
461008,,APRU5834070,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Unchecked,15,,15.1,15.5
461004,,CGMU5035126,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,15,,16.7,15.96
461006,,CGMU5068198,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,15,,15,15.3
461210,,CGMU5075406,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,0,,-0.65,0.98
461406,,CGMU9333303,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,0,,-0.26,0.8
461010,,CGMU9358148,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,15,,16.38,15.47
461012,,CGMU4937846,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Checked,-20,,-21.69,-18.19
461208,,APRU5854734,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-20,,-22.5,-20.2
461206,,APRU6125491,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-20,,-22.6,-20.1
461212,,TCLU1138190,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-20,,-22.5,-20.1
420308,,CGMU5312180,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Checked,-2,,-1.8,-0.9
420310,,CGMU9316230,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,-20,,-22.3,-20
421182,,APRU5840617,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-22,,-24.2,-22
421184,,TCLU1050982,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-22,,-24,-22
421382,,CRSU6115549,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-22,,-24.32,-22.15
421384,,TRIU8879007,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-22,,-24.2,-22.2
220712,,CGMU5503021,0,JMKIN,USHOU/JMKIN/GYGEO/USHOU,,,,,Unchecked,-22,,-21.82,-22.06
230782,,CGMU3048438,0,JMKIN,USHOU/JMKIN/PAMIT/USHOU,,,,,Unchecked,-23,,-21.89,-22.96
230582,,CGMU3005544,0,JMKIN,USHOU/JMKIN/PAMIT/USHOU,,,,,Unchecked,-23,,-24.8,-23.1
230584,,CXRU1236697,0,JMKIN,USHOU/JMKIN/PAMIT/USHOU,,,,,Unchecked,-23,,-24.9,-23
230982,,CGMU3035662,0,JMKIN,USHOU/JMKIN/PAMIT/USHOU,,,,,Unchecked,-21,,-23.3,-21.4
,,CGMU5172068,1,,,,,,,Checked,-18,,-21.7,-17.3
,,SEGU9537920,1,,,,,,,Checked,-18,,-17.2,-17.7
