Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
380282,,SEGU9536170,0,USHOU,PAMIT/USHOU/PECLL,,,,Checked,2.2,2.7,,2.9
181006,,CGMU5031774,0,MXVER,ITGOA/ITGOA,,,,Checked,1,0.91,,1.78
,,RMMU2227120,2,,,,,,Checked,,,,
420408,,TLLU1056844,0,MXVER,ESALG/ESALG,,,,Checked,5,5,,5.94
420402,,TTNU8979613,0,MXVER,ESALG/ESALG,,,,Checked,3.5,3.38,,4.31
420404,,TLLU1070950,0,MXVER,ESALG/ESALG,,,,Checked,5,4.94,,6.19
420406,,TLLU1079937,0,MXVER,ESALG/ESALG,,,,Checked,5,5.69,,5
220384,,CGMU5437721,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.8,,14.6
220382,,CGMU5068198,0,MXVER,MTMLA/MTMLA,,,,Checked,13.5,13.5,,14.3
181010,,CGMU5036694,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,1,,2.9
181008,,CRSU6099134,0,MXVER,ITGOA/ITGOA,,,,Unchecked,1,1,,3
380082,,CXRU1308210,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-23.8,,-24.5
380284,,TRIU8621331,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-23.1,,-24.1
380382,,TRIU8750370,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-23,,-24.8
380182,,TCLU1214345,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-23,,-24.1
380482,,SZLU9824288,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,2.2,2.2,,3.1
380084,,TEMU9845956,0,USHOU,PAMIT/USHOU/CLSAI,,,,Unchecked,-23,-23.8,,-24.4
420510,,TRIU8614219,0,USHOU,ESALG/USHOU/**SSG,,,,Unchecked,-18,-17.8,,-18.6
540182,,CGMU9369970,0,USHOU,ESVLC/USHOU/ESVLC,,,,Unchecked,9,10.1,,10
