Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,,Supply,Return
350684,,CGMU2999807,0,ESALG,USHOU/ESALG/USHOU,,,,,Unchecked,-10,,-9.9,-10.3
350682,,CRSU5020407,0,ESALG,USHOU/ESALG/USHOU,,,,,Unchecked,10,,10,10.2
270302,,CGMU2992762,0,MTMLA,MXVER/MTMLA/MXVER,,,,,Checked,15,,14.97,15.36
,,CXRU1046207,1,,,,,,,Checked,-10,,-17.19,-10.5
461582,,CGMU6905473,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Checked,-22,,-25.8,-21.5
300686,,TCLU1211840,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-22,,-22.8,-22.5
300684,,TTNU8688752,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Checked,-20,,-29.08,-20.06
140384,,APRU5799010,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-2,,-2,-2
300682,,TRIU8516676,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,-20,,-20.2,-21.3
300688,,TCLU1054057,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,4,,4.2,4.3
300582,,CGMU5401230,0,COCTG,USHOU/COCTG/USHOU,,,,,Checked,-21,,-25.9,-20.9
300584,,TEMU9261551,0,COCTG,USHOU/COCTG/USHOU,,,,,Checked,-21,,-30.6,-21.7
300784,,TTNU8259573,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-21.1,-21.5
300782,,TTNU8306660,0,COCTG,USHOU/COCTG/USHOU,,,,,Unchecked,-21,,-21.5,-21.3
340482,,CGMU6535553,0,JMKIN,USHOU/JMKIN/GYGEO/USHOU,,,,,Unchecked,-22,,-21,-22.4
,,RMMU4076580,2,,,,,,,Checked,,,,
