Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,,Supply,Return
260212,,APRU6120186,0,MTMLA,USHOU/MTMLA/USHOU,,,,,Unchecked,-18,,-20,-18
260412,,TTNU8664030,0,MTMLA,USHOU/MTMLA/USHOU,,,,,Checked,-18,,-22.86,-18.18
461008,,APRU5834070,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Unchecked,15,,15,15.4
461004,,CGMU5035126,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,15,,15.73,15.26
461006,,CGMU5068198,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,15,,15,15.3
461210,,CGMU5075406,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,0,,-2.19,0.13
461406,,CGMU9333303,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,0,,-0.28,0.27
461010,,CGMU9358148,0,ITGOA,MXVER/ITGOA/MXVER,,,,,Checked,15,,15.84,15.75
461012,,CGMU4937846,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Checked,-20,,-21.19,-19.81
461208,,APRU5854734,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-20,,-22.2,-20
461206,,APRU6125491,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-20,,-22.3,-20
461212,,TCLU1138190,0,ESBCN,MXVER/ESBCN/MXVER,,,,,Unchecked,-20,,-22.4,-20
420308,,CGMU5312180,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Checked,-2,,-1.9,-0.6
420310,,CGMU9316230,0,ESVLC,MXVER/ESVLC/MXVER,,,,,Unchecked,-20,,-22.3,-20.1
421182,,APRU5840617,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-22,,-24.2,-22.2
421184,,TCLU1050982,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-22,,-24,-21.9
421382,,CRSU6115549,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Checked,-22,,-28.2,-21.85
421384,,TRIU8879007,0,ESVLC,USHOU/ESVLC/USHOU,,,,,Unchecked,-22,,-24,-22.1
220712,,CGMU5503021,0,JMKIN,USHOU/JMKIN/GYGEO/USHOU,,,,,Checked,-22,,-21.57,-21.76
230782,,CGMU3048438,0,JMKIN,USHOU/JMKIN/PAMIT/USHOU,,,,,Unchecked,-23,,-22.16,-23.16
230582,,CGMU3005544,0,JMKIN,USHOU/JMKIN/PAMIT/USHOU,,,,,Unchecked,-23,,-25,-23.2
230584,,CXRU1236697,0,JMKIN,USHOU/JMKIN/PAMIT/USHOU,,,,,Unchecked,-23,,-25.4,-22
230982,,CGMU3035662,0,JMKIN,USHOU/JMKIN/PAMIT/USHOU,,,,,Unchecked,-21,,-23.3,-21.2
