Location,,ContainerID,Alms,LoadPort,Disch.Port,,Monitored,,Temp SP,Supply,,,Return,O2 Exp.,O2 SP,O2,CO2 Exp.,,CO2 SP,CO2,,N2
260910,,CGMU5247043,0,MTMLA,MXVER/INNSA/MXVER/MXVER,,Checked,,18,17.5,,,17.78,,,,,,,,,
260912,,CGMU5324710,0,MTMLA,MXVER/INNSA/MXVER/MXVER,,Checked,,20,19.99,,,21.26,,,,,,,,,
380982,,CGMU5506355,0,MTMLA,USHOU/INCCU/USHOU/USHOU,,Checked,,-21,-22.53,,,-20.74,,,,,,,,,
390782,,CGMU2988171,0,MTMLA,USHOU/INCCU/USHOU/USHOU,,Checked,,10,9.96,,,10.66,,,,,,,,,
260802,,TCLU1032607,0,MTMLA,MXVER/INNSA/MXVER/MXVER,,Unchecked,,1,1,,,1.7,,,,,,,,,
260804,,CGMU5287956,0,MTMLA,MXVER/INMUN/MXVER/MXVER,,Checked,,17,17,,,17.3,,,,,,,,,
260808,,CGMU5400640,0,MTMLA,MXVER/INMUN/MXVER/MXVER,,Checked,,17,17.1,,,17.4,,,,,,,,,
260810,,SEGU9541427,0,MTMLA,MXVER/INMUN/MXVER/MXVER,,Checked,,17,17.1,,,17.7,,,,,,,,,
260806,,SZLU9494490,0,MTMLA,MXVER/INNSA/MXVER/MXVER,,Checked,,1,1,,,1.45,,,,,,,,,
270906,,CGMU2995695,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,15,15.8,,,15.5,,,,,,,,,
270904,,CXRU1165818,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,4,4,,,4.6,,,,,,,,,
260908,,CXRU1188449,0,ITGOA,MXVER/ITGOA/MXVER,,Unchecked,,15,14.3,,,15.9,,,,,,,,,
60482,,TRIU8722888,0,ITGOA,MXVER/MXVER,,Unchecked,,15,15.4,,,15.3,,,,,,,,,
271012,,CGMU3023194,0,ESBCN,MXVER/MACAS/MXVER/MXVER,,Unchecked,,12,12.8,,,12.6,,,,,,,,,
421406,,TLLU1049830,0,ESBCN,PAMIT/ESBCN/PAMIT/PAMIT,,Unchecked,,0,0,,,0.5,,,,,,,,,
380886,,APRU5751320,0,ESVLC,USHOU/ESVLC/USHOU/USHOU,,Unchecked,,-22,-24.1,,,-21.6,,,,,,,,,
380888,,AMCU9287070,0,ESVLC,USHOU/ESVLC/USHOU/USHOU,,Checked,,-22,-27.32,,,-21.8,,,,,,,,,
580582,,TRLU1739395,0,ESVLC,MXVER/ESVLC/MXVER/MXVER,,Unchecked,,-21,-22.2,,,-21.2,,,,,,,,,
580584,,CGMU5017380,0,ESVLC,MXVER/ESVLC/MXVER/MXVER,,Unchecked,,-20,-22.5,,,-20.1,,,,,,,,,
580782,,TCLU1057400,0,ESVLC,MXVER/ESVLC/MXVER/MXVER,,Unchecked,,-20,-22,,,-19.7,,,,,,,,,
580784,,TCLU1155366,0,ESVLC,MXVER/ESVLC/MXVER/MXVER,,Unchecked,,4,4.6,,,4.6,,,,,,,,,
590982,,TRIU6682596,0,ESVLC,MXVER/ESVLC/MXVER/MXVER,,Unchecked,,4,4.2,,,4.2,,,,,,,,,
140282,,APRU6116798,0,COCTG,USHOU/USHOU/USHOU,,Unchecked,,-21,-21.6,,,-21.3,,,,,,,,,
140482,,BMOU9700183,0,COCTG,USHOU/USHOU/USHOU,,Unchecked,,-21,-22.4,,,-21.1,,,,,,,,,
