Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
140412,,CGMU5143352,0,MTMLA,,MXVER/MXVER,,,,Checked,1,1,,"2,3"
150284,,CGMU2989331,0,ITLIV,,MXVER/MXVER,,,,Checked,-25,"-27,29",,"-24,91"
140482,,CXRU1525030,0,ITLIV,,MXVER/MXVER,,,,Unchecked,18,"18,6",,"18,5"
460504,,CGMU4975321,0,FRMRS,,CRMOB/CRMOB,,,,Checked,"0,5","0,55",,"1,75"
460604,,TLLU1078714,0,ESBCN,,PAMIT/PAMIT,,,,Checked,-22,"-239,375",,-22
300212,,CGMU5079335,0,ESBCN,,MXVER/MXVER,,,,Checked,20,"21,28",,"20,97"
460502,,TCLU1068359,0,FRMRS,,PAMIT/PAMIT,,,,Unchecked,0,"0,2",,"0,6"
300082,,MFTU8193160,0,COCTG,,MXVER/MXVER,,,,Unchecked,,,,
300706,,CGMU9362636,0,USHOU,,ESALG/CMDLA,,,,Checked,-22,"-24,5",,"-21,87"
300510,,CGMU5326097,0,USHOU,,ESALG/BJCOO,,,,Checked,-20,"-25,14",,"-19,79"
300512,,CGMU5353127,0,USHOU,,ESALG/CMDLA,,,,Checked,-22,"-22,19",,"-21,7"
220312,,TTNU8702254,0,USHOU,,PAMIT/CLSAI,,,,Checked,-18,"-195,625",,-18
220410,,CGMU5071870,0,USHOU,,PAMIT/CLSAI,,,,Checked,-18,"-16,2",,-17
340410,,TRIU8723122,0,USHOU,,MTMLA/**EDK,,,,Unchecked,,,,
220412,,TRLU1654451,0,USHOU,,PAMIT/CLSAI,,,,Unchecked,,,,
300612,,APRU5081531,0,USHOU,,ESALG/AOLAD,,,,Unchecked,,,,
300506,,TRIU8656370,0,USHOU,,ESALG/BJCOO,,,,Unchecked,,,,
300508,,CXRU1382095,0,USHOU,,ESALG/BJCOO,,,,Unchecked,,,,
340210,,GESU9527506,0,USHOU,,MTMLA/**EDK,,,,Unchecked,,,,
300610,,APRU6128206,0,USHOU,,ESALG/CGPNR,,,,Unchecked,,,,
300606,,APRU5101108,0,USHOU,,ESALG/CGPNR,,,,Unchecked,,,,
220310,,APRU5824827,0,USHOU,,PAMIT/CLSAI,,,,Unchecked,,,,
300806,,APRU5726456,0,USHOU,,ESALG/BJCOO,,,,Unchecked,,,,
300608,,TRIU8970652,0,USHOU,,ESALG/CGPNR,,,,Unchecked,,,,
