Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
350108,,CGMU3005098,0,ITLIV,,JMKIN/JMKIN,,,,Unchecked,12,"10,97",,"11,48"
260108,,CGMU5156750,0,ITGOA,,JMKIN/PFPPT,,,,Unchecked,14,14,,"15,1"
260106,,CGMU9401481,0,ITGOA,,JMKIN/PFPPT,,,,Unchecked,14,"13,97",,"14,83"
260104,,APRU6111332,0,ITGOA,,JMKIN/KYGEC,,,,Indeterminate,,,,
190304,,CGMU3030130,0,ITGOA,,MXVER/MXVER,,,,Indeterminate,,,,
260102,,TTNU8668606,0,ITGOA,,JMKIN/HTPAP,,,,Indeterminate,,,,
180112,,CGMU5132527,0,ESBCN,,MXVER/MXVER,,,,Checked,-22,"-27,4",,"-21,3"
340606,,TRLU1722495,0,ESBCN,,JMKIN/JMMBJ,,,,Indeterminate,,,,
180110,,CGMU5327088,0,ESBCN,,MXVER/MXVER,,,,Checked,20,"18,94",,"20,03"
340608,,CHIU9002150,0,ESBCN,,JMKIN/JMMBJ,,,,Indeterminate,,,,
180506,,TLLU1079881,0,ESVLC,,MXVER/MXVER,,,,Checked,4,"39,375",,"4,25"
180508,,TLLU1049660,0,ESVLC,,MXVER/MXVER,,,,Indeterminate,,,,
420482,,TRIU8920306,0,ESVLC,,JMKIN/CRMOB,,,,Indeterminate,,,,
420582,,AMCU9298938,0,ESVLC,,USHOU/USHOU,,,,Checked,-21,"-24,1",,-21
420682,,CGMU5061737,0,ESVLC,,USHOU/USHOU,,,,Checked,-18,"-17,6",,"-18,2"
420684,,CGMU5425926,0,ESVLC,,USHOU/USHOU,,,,Checked,20,"19,5",,"19,79"
420782,,CGMU5419610,0,ESVLC,,USHOU/USHOU,,,,Checked,-21,"-25,5",,"-20,8"
420882,,CGMU9324066,0,ESVLC,,USHOU/USHOU,,,,Checked,-18,"-17,3",,"-17,96"
141182,,CGMU5108238,0,GPPTP,,ESALG/PTLEI,,,,Checked,-35,-41,,"-35,9"
420984,,TCLU1072940,0,COCTG,,USHOU/USHOU,,,,Indeterminate,,,,
421182,,CGMU5504521,0,COCTG,,USHOU/USHOU,,,,Checked,-20,"-19,63",,"-20,06"
421282,,CGMU5505148,0,COCTG,,USHOU/USHOU,,,,Checked,-20,"-19,19",,"-19,97"
